data,values
1/31/2020,0
2/29/2020,0
3/31/2020,35
4/30/2020,1154
5/31/2020,5408
6/30/2020,17400
7/31/2020,36511
8/31/2020,65288
9/30/2020,98678
10/31/2020,122111
11/30/2020,137621
12/31/2020,148994
